airport_group,date,hour,feat_season,feat_sched_flights_cnt,feat_sched_concurrence
A,2025-10-01,0,autumn,0,0
B,2025-10-01,0,autumn,0,0
C,2025-10-01,0,autumn,0,0
D,2025-10-01,0,autumn,0,0
E,2025-10-01,0,autumn,0,0
F,2025-10-01,0,autumn,0,0
G,2025-10-01,0,autumn,0,0
A,2025-10-01,1,autumn,0,0
B,2025-10-01,1,autumn,0,0
C,2025-10-01,1,autumn,0,0
D,2025-10-01,1,autumn,0,0
E,2025-10-01,1,autumn,0,0
F,2025-10-01,1,autumn,0,0
G,2025-10-01,1,autumn,0,0
A,2025-10-01,2,autumn,0,0
B,2025-10-01,2,autumn,0,0
C,2025-10-01,2,autumn,0,0
D,2025-10-01,2,autumn,0,0
E,2025-10-01,2,autumn,0,0
F,2025-10-01,2,autumn,0,0
G,2025-10-01,2,autumn,1,0
A,2025-10-01,3,autumn,2,1
B,2025-10-01,3,autumn,2,1
C,2025-10-01,3,autumn,0,0
D,2025-10-01,3,autumn,0,0
E,2025-10-01,3,autumn,2,1
F,2025-10-01,3,autumn,0,0
G,2025-10-01,3,autumn,4,1
A,2025-10-01,4,autumn,6,1
B,2025-10-01,4,autumn,4,1
C,2025-10-01,4,autumn,5,1
D,2025-10-01,4,autumn,3,1
E,2025-10-01,4,autumn,2,1
F,2025-10-01,4,autumn,0,0
G,2025-10-01,4,autumn,0,0
A,2025-10-01,5,autumn,0,0
B,2025-10-01,5,autumn,0,0
C,2025-10-01,5,autumn,1,0
D,2025-10-01,5,autumn,0,0
E,2025-10-01,5,autumn,4,1
F,2025-10-01,5,autumn,4,1
G,2025-10-01,5,autumn,1,0
A,2025-10-01,6,autumn,3,1
B,2025-10-01,6,autumn,1,0
C,2025-10-01,6,autumn,1,0
D,2025-10-01,6,autumn,4,1
E,2025-10-01,6,autumn,2,0
F,2025-10-01,6,autumn,4,1
G,2025-10-01,6,autumn,6,1
A,2025-10-01,7,autumn,6,1
B,2025-10-01,7,autumn,5,1
C,2025-10-01,7,autumn,2,0
D,2025-10-01,7,autumn,6,1
E,2025-10-01,7,autumn,5,1
F,2025-10-01,7,autumn,2,0
G,2025-10-01,7,autumn,1,0
A,2025-10-01,8,autumn,2,0
B,2025-10-01,8,autumn,3,1
C,2025-10-01,8,autumn,0,0
D,2025-10-01,8,autumn,0,0
E,2025-10-01,8,autumn,0,0
F,2025-10-01,8,autumn,0,0
G,2025-10-01,8,autumn,0,0
A,2025-10-01,9,autumn,1,0
B,2025-10-01,9,autumn,1,0
C,2025-10-01,9,autumn,0,0
D,2025-10-01,9,autumn,4,1
E,2025-10-01,9,autumn,4,1
F,2025-10-01,9,autumn,0,0
G,2025-10-01,9,autumn,1,0
A,2025-10-01,10,autumn,3,0
B,2025-10-01,10,autumn,3,0
C,2025-10-01,10,autumn,0,0
D,2025-10-01,10,autumn,1,0
E,2025-10-01,10,autumn,1,0
F,2025-10-01,10,autumn,3,1
G,2025-10-01,10,autumn,2,0
A,2025-10-01,11,autumn,2,0
B,2025-10-01,11,autumn,2,0
C,2025-10-01,11,autumn,0,0
D,2025-10-01,11,autumn,0,0
E,2025-10-01,11,autumn,2,0
F,2025-10-01,11,autumn,5,0
G,2025-10-01,11,autumn,0,0
A,2025-10-01,12,autumn,1,0
B,2025-10-01,12,autumn,3,1
C,2025-10-01,12,autumn,0,0
D,2025-10-01,12,autumn,2,0
E,2025-10-01,12,autumn,2,1
F,2025-10-01,12,autumn,1,0
G,2025-10-01,12,autumn,4,1
A,2025-10-01,13,autumn,2,0
B,2025-10-01,13,autumn,4,1
C,2025-10-01,13,autumn,2,0
D,2025-10-01,13,autumn,5,1
E,2025-10-01,13,autumn,4,1
F,2025-10-01,13,autumn,0,0
G,2025-10-01,13,autumn,0,0
A,2025-10-01,14,autumn,2,0
B,2025-10-01,14,autumn,4,1
C,2025-10-01,14,autumn,1,0
D,2025-10-01,14,autumn,0,0
E,2025-10-01,14,autumn,4,1
F,2025-10-01,14,autumn,0,0
G,2025-10-01,14,autumn,0,0
A,2025-10-01,15,autumn,2,0
B,2025-10-01,15,autumn,5,1
C,2025-10-01,15,autumn,0,0
D,2025-10-01,15,autumn,3,1
E,2025-10-01,15,autumn,4,1
F,2025-10-01,15,autumn,0,0
G,2025-10-01,15,autumn,0,0
A,2025-10-01,16,autumn,5,1
B,2025-10-01,16,autumn,4,1
C,2025-10-01,16,autumn,2,0
D,2025-10-01,16,autumn,6,1
E,2025-10-01,16,autumn,5,1
F,2025-10-01,16,autumn,1,0
G,2025-10-01,16,autumn,0,0
A,2025-10-01,17,autumn,1,0
B,2025-10-01,17,autumn,2,0
C,2025-10-01,17,autumn,1,0
D,2025-10-01,17,autumn,3,1
E,2025-10-01,17,autumn,2,0
F,2025-10-01,17,autumn,2,0
G,2025-10-01,17,autumn,4,1
A,2025-10-01,18,autumn,3,0
B,2025-10-01,18,autumn,3,1
C,2025-10-01,18,autumn,2,1
D,2025-10-01,18,autumn,6,1
E,2025-10-01,18,autumn,4,1
F,2025-10-01,18,autumn,4,1
G,2025-10-01,18,autumn,3,1
A,2025-10-01,19,autumn,3,0
B,2025-10-01,19,autumn,3,0
C,2025-10-01,19,autumn,3,0
D,2025-10-01,19,autumn,0,0
E,2025-10-01,19,autumn,4,1
F,2025-10-01,19,autumn,0,0
G,2025-10-01,19,autumn,2,0
A,2025-10-01,20,autumn,3,0
B,2025-10-01,20,autumn,1,0
C,2025-10-01,20,autumn,1,0
D,2025-10-01,20,autumn,3,1
E,2025-10-01,20,autumn,0,0
F,2025-10-01,20,autumn,0,0
G,2025-10-01,20,autumn,1,0
A,2025-10-01,21,autumn,1,0
B,2025-10-01,21,autumn,1,0
C,2025-10-01,21,autumn,0,0
D,2025-10-01,21,autumn,2,1
E,2025-10-01,21,autumn,2,1
F,2025-10-01,21,autumn,0,0
G,2025-10-01,21,autumn,4,1
A,2025-10-01,22,autumn,0,0
B,2025-10-01,22,autumn,0,0
C,2025-10-01,22,autumn,0,0
D,2025-10-01,22,autumn,0,0
E,2025-10-01,22,autumn,0,0
F,2025-10-01,22,autumn,0,0
G,2025-10-01,22,autumn,1,0
A,2025-10-01,23,autumn,0,0
B,2025-10-01,23,autumn,0,0
C,2025-10-01,23,autumn,0,0
D,2025-10-01,23,autumn,0,0
E,2025-10-01,23,autumn,0,0
F,2025-10-01,23,autumn,0,0
G,2025-10-01,23,autumn,0,0
A,2025-10-02,0,autumn,0,0
B,2025-10-02,0,autumn,0,0
C,2025-10-02,0,autumn,0,0
D,2025-10-02,0,autumn,0,0
E,2025-10-02,0,autumn,0,0
F,2025-10-02,0,autumn,0,0
G,2025-10-02,0,autumn,0,0
A,2025-10-02,1,autumn,0,0
B,2025-10-02,1,autumn,0,0
C,2025-10-02,1,autumn,0,0
D,2025-10-02,1,autumn,0,0
E,2025-10-02,1,autumn,0,0
F,2025-10-02,1,autumn,0,0
G,2025-10-02,1,autumn,0,0
A,2025-10-02,2,autumn,0,0
B,2025-10-02,2,autumn,0,0
C,2025-10-02,2,autumn,0,0
D,2025-10-02,2,autumn,0,0
E,2025-10-02,2,autumn,0,0
F,2025-10-02,2,autumn,0,0
G,2025-10-02,2,autumn,1,0
A,2025-10-02,3,autumn,2,1
B,2025-10-02,3,autumn,2,1
C,2025-10-02,3,autumn,0,0
D,2025-10-02,3,autumn,0,0
E,2025-10-02,3,autumn,0,0
F,2025-10-02,3,autumn,0,0
G,2025-10-02,3,autumn,4,1
A,2025-10-02,4,autumn,6,1
B,2025-10-02,4,autumn,4,1
C,2025-10-02,4,autumn,5,1
D,2025-10-02,4,autumn,3,1
E,2025-10-02,4,autumn,2,1
F,2025-10-02,4,autumn,0,0
G,2025-10-02,4,autumn,0,0
A,2025-10-02,5,autumn,0,0
B,2025-10-02,5,autumn,0,0
C,2025-10-02,5,autumn,1,0
D,2025-10-02,5,autumn,0,0
E,2025-10-02,5,autumn,4,1
F,2025-10-02,5,autumn,4,1
G,2025-10-02,5,autumn,1,0
A,2025-10-02,6,autumn,3,1
B,2025-10-02,6,autumn,2,1
C,2025-10-02,6,autumn,1,0
D,2025-10-02,6,autumn,4,1
E,2025-10-02,6,autumn,2,0
F,2025-10-02,6,autumn,4,1
G,2025-10-02,6,autumn,6,1
A,2025-10-02,7,autumn,6,1
B,2025-10-02,7,autumn,7,1
C,2025-10-02,7,autumn,2,0
D,2025-10-02,7,autumn,6,1
E,2025-10-02,7,autumn,5,1
F,2025-10-02,7,autumn,2,0
G,2025-10-02,7,autumn,1,0
A,2025-10-02,8,autumn,2,0
B,2025-10-02,8,autumn,3,1
C,2025-10-02,8,autumn,0,0
D,2025-10-02,8,autumn,0,0
E,2025-10-02,8,autumn,0,0
F,2025-10-02,8,autumn,0,0
G,2025-10-02,8,autumn,0,0
A,2025-10-02,9,autumn,1,0
B,2025-10-02,9,autumn,1,0
C,2025-10-02,9,autumn,0,0
D,2025-10-02,9,autumn,4,1
E,2025-10-02,9,autumn,4,1
F,2025-10-02,9,autumn,0,0
G,2025-10-02,9,autumn,1,0
A,2025-10-02,10,autumn,3,0
B,2025-10-02,10,autumn,3,0
C,2025-10-02,10,autumn,0,0
D,2025-10-02,10,autumn,1,0
E,2025-10-02,10,autumn,1,0
F,2025-10-02,10,autumn,3,1
G,2025-10-02,10,autumn,2,0
A,2025-10-02,11,autumn,2,0
B,2025-10-02,11,autumn,2,0
C,2025-10-02,11,autumn,0,0
D,2025-10-02,11,autumn,0,0
E,2025-10-02,11,autumn,2,0
F,2025-10-02,11,autumn,5,0
G,2025-10-02,11,autumn,0,0
A,2025-10-02,12,autumn,1,0
B,2025-10-02,12,autumn,5,1
C,2025-10-02,12,autumn,0,0
D,2025-10-02,12,autumn,2,0
E,2025-10-02,12,autumn,2,1
F,2025-10-02,12,autumn,1,0
G,2025-10-02,12,autumn,4,1
A,2025-10-02,13,autumn,2,0
B,2025-10-02,13,autumn,5,1
C,2025-10-02,13,autumn,2,0
D,2025-10-02,13,autumn,5,1
E,2025-10-02,13,autumn,4,1
F,2025-10-02,13,autumn,0,0
G,2025-10-02,13,autumn,0,0
A,2025-10-02,14,autumn,2,0
B,2025-10-02,14,autumn,4,1
C,2025-10-02,14,autumn,1,0
D,2025-10-02,14,autumn,0,0
E,2025-10-02,14,autumn,4,1
F,2025-10-02,14,autumn,0,0
G,2025-10-02,14,autumn,0,0
A,2025-10-02,15,autumn,2,0
B,2025-10-02,15,autumn,5,1
C,2025-10-02,15,autumn,0,0
D,2025-10-02,15,autumn,3,1
E,2025-10-02,15,autumn,4,1
F,2025-10-02,15,autumn,0,0
G,2025-10-02,15,autumn,0,0
A,2025-10-02,16,autumn,5,1
B,2025-10-02,16,autumn,4,1
C,2025-10-02,16,autumn,2,0
D,2025-10-02,16,autumn,6,1
E,2025-10-02,16,autumn,5,1
F,2025-10-02,16,autumn,1,0
G,2025-10-02,16,autumn,0,0
A,2025-10-02,17,autumn,1,0
B,2025-10-02,17,autumn,2,0
C,2025-10-02,17,autumn,1,0
D,2025-10-02,17,autumn,3,1
E,2025-10-02,17,autumn,2,0
F,2025-10-02,17,autumn,2,0
G,2025-10-02,17,autumn,4,1
A,2025-10-02,18,autumn,3,0
B,2025-10-02,18,autumn,3,1
C,2025-10-02,18,autumn,2,1
D,2025-10-02,18,autumn,6,1
E,2025-10-02,18,autumn,4,1
F,2025-10-02,18,autumn,4,1
G,2025-10-02,18,autumn,3,1
A,2025-10-02,19,autumn,3,0
B,2025-10-02,19,autumn,3,0
C,2025-10-02,19,autumn,3,0
D,2025-10-02,19,autumn,0,0
E,2025-10-02,19,autumn,4,1
F,2025-10-02,19,autumn,0,0
G,2025-10-02,19,autumn,2,0
A,2025-10-02,20,autumn,3,0
B,2025-10-02,20,autumn,1,0
C,2025-10-02,20,autumn,1,0
D,2025-10-02,20,autumn,3,1
E,2025-10-02,20,autumn,0,0
F,2025-10-02,20,autumn,0,0
G,2025-10-02,20,autumn,1,0
A,2025-10-02,21,autumn,1,0
B,2025-10-02,21,autumn,1,0
C,2025-10-02,21,autumn,0,0
D,2025-10-02,21,autumn,4,1
E,2025-10-02,21,autumn,2,1
F,2025-10-02,21,autumn,0,0
G,2025-10-02,21,autumn,4,1
A,2025-10-02,22,autumn,0,0
B,2025-10-02,22,autumn,0,0
C,2025-10-02,22,autumn,0,0
D,2025-10-02,22,autumn,0,0
E,2025-10-02,22,autumn,0,0
F,2025-10-02,22,autumn,0,0
G,2025-10-02,22,autumn,1,0
A,2025-10-02,23,autumn,0,0
B,2025-10-02,23,autumn,0,0
C,2025-10-02,23,autumn,0,0
D,2025-10-02,23,autumn,0,0
E,2025-10-02,23,autumn,0,0
F,2025-10-02,23,autumn,0,0
G,2025-10-02,23,autumn,0,0
A,2025-10-03,0,autumn,0,0
B,2025-10-03,0,autumn,0,0
C,2025-10-03,0,autumn,0,0
D,2025-10-03,0,autumn,0,0
E,2025-10-03,0,autumn,0,0
F,2025-10-03,0,autumn,0,0
G,2025-10-03,0,autumn,0,0
A,2025-10-03,1,autumn,0,0
B,2025-10-03,1,autumn,0,0
C,2025-10-03,1,autumn,0,0
D,2025-10-03,1,autumn,0,0
E,2025-10-03,1,autumn,0,0
F,2025-10-03,1,autumn,0,0
G,2025-10-03,1,autumn,0,0
A,2025-10-03,2,autumn,0,0
B,2025-10-03,2,autumn,0,0
C,2025-10-03,2,autumn,0,0
D,2025-10-03,2,autumn,0,0
E,2025-10-03,2,autumn,0,0
F,2025-10-03,2,autumn,0,0
G,2025-10-03,2,autumn,1,0
A,2025-10-03,3,autumn,2,1
B,2025-10-03,3,autumn,2,1
C,2025-10-03,3,autumn,0,0
D,2025-10-03,3,autumn,0,0
E,2025-10-03,3,autumn,0,0
F,2025-10-03,3,autumn,0,0
G,2025-10-03,3,autumn,4,1
A,2025-10-03,4,autumn,6,1
B,2025-10-03,4,autumn,4,1
C,2025-10-03,4,autumn,5,1
D,2025-10-03,4,autumn,3,1
E,2025-10-03,4,autumn,2,1
F,2025-10-03,4,autumn,0,0
G,2025-10-03,4,autumn,0,0
A,2025-10-03,5,autumn,0,0
B,2025-10-03,5,autumn,1,0
C,2025-10-03,5,autumn,1,0
D,2025-10-03,5,autumn,0,0
E,2025-10-03,5,autumn,4,1
F,2025-10-03,5,autumn,4,1
G,2025-10-03,5,autumn,1,0
A,2025-10-03,6,autumn,3,1
B,2025-10-03,6,autumn,2,1
C,2025-10-03,6,autumn,1,0
D,2025-10-03,6,autumn,4,1
E,2025-10-03,6,autumn,2,0
F,2025-10-03,6,autumn,4,1
G,2025-10-03,6,autumn,6,1
A,2025-10-03,7,autumn,6,1
B,2025-10-03,7,autumn,7,1
C,2025-10-03,7,autumn,2,0
D,2025-10-03,7,autumn,6,1
E,2025-10-03,7,autumn,5,1
F,2025-10-03,7,autumn,2,0
G,2025-10-03,7,autumn,1,0
A,2025-10-03,8,autumn,2,0
B,2025-10-03,8,autumn,3,1
C,2025-10-03,8,autumn,0,0
D,2025-10-03,8,autumn,0,0
E,2025-10-03,8,autumn,0,0
F,2025-10-03,8,autumn,0,0
G,2025-10-03,8,autumn,0,0
A,2025-10-03,9,autumn,1,0
B,2025-10-03,9,autumn,1,0
C,2025-10-03,9,autumn,0,0
D,2025-10-03,9,autumn,4,1
E,2025-10-03,9,autumn,4,1
F,2025-10-03,9,autumn,0,0
G,2025-10-03,9,autumn,1,0
A,2025-10-03,10,autumn,3,0
B,2025-10-03,10,autumn,3,0
C,2025-10-03,10,autumn,0,0
D,2025-10-03,10,autumn,1,0
E,2025-10-03,10,autumn,1,0
F,2025-10-03,10,autumn,3,1
G,2025-10-03,10,autumn,2,0
A,2025-10-03,11,autumn,2,0
B,2025-10-03,11,autumn,2,0
C,2025-10-03,11,autumn,0,0
D,2025-10-03,11,autumn,0,0
E,2025-10-03,11,autumn,5,1
F,2025-10-03,11,autumn,5,0
G,2025-10-03,11,autumn,0,0
A,2025-10-03,12,autumn,1,0
B,2025-10-03,12,autumn,3,1
C,2025-10-03,12,autumn,0,0
D,2025-10-03,12,autumn,2,0
E,2025-10-03,12,autumn,5,1
F,2025-10-03,12,autumn,1,0
G,2025-10-03,12,autumn,4,1
A,2025-10-03,13,autumn,2,0
B,2025-10-03,13,autumn,6,1
C,2025-10-03,13,autumn,2,0
D,2025-10-03,13,autumn,5,1
E,2025-10-03,13,autumn,4,1
F,2025-10-03,13,autumn,0,0
G,2025-10-03,13,autumn,0,0
A,2025-10-03,14,autumn,2,0
B,2025-10-03,14,autumn,5,1
C,2025-10-03,14,autumn,1,0
D,2025-10-03,14,autumn,0,0
E,2025-10-03,14,autumn,4,1
F,2025-10-03,14,autumn,0,0
G,2025-10-03,14,autumn,0,0
A,2025-10-03,15,autumn,2,0
B,2025-10-03,15,autumn,5,1
C,2025-10-03,15,autumn,0,0
D,2025-10-03,15,autumn,3,1
E,2025-10-03,15,autumn,5,1
F,2025-10-03,15,autumn,0,0
G,2025-10-03,15,autumn,0,0
A,2025-10-03,16,autumn,5,1
B,2025-10-03,16,autumn,4,1
C,2025-10-03,16,autumn,2,0
D,2025-10-03,16,autumn,6,1
E,2025-10-03,16,autumn,7,1
F,2025-10-03,16,autumn,1,0
G,2025-10-03,16,autumn,0,0
A,2025-10-03,17,autumn,1,0
B,2025-10-03,17,autumn,2,0
C,2025-10-03,17,autumn,1,0
D,2025-10-03,17,autumn,3,1
E,2025-10-03,17,autumn,2,0
F,2025-10-03,17,autumn,2,0
G,2025-10-03,17,autumn,4,1
A,2025-10-03,18,autumn,3,0
B,2025-10-03,18,autumn,3,1
C,2025-10-03,18,autumn,2,1
D,2025-10-03,18,autumn,6,1
