flight_id,dep_airport,arr_airport,service_type,std,sta,dep_airport_group,arr_airport_group
WF931,VDS,MEH,J,2025-10-01 03:00:00.000000,2025-10-01 03:35:00.000000,G,G
WF800,BOO,LKN,J,2025-10-01 03:05:00.000000,2025-10-01 03:35:00.000000,NA,E
WF941,VDS,KKN,J,2025-10-01 03:15:00.000000,2025-10-01 03:30:00.000000,G,NA
WF801,LKN,BOO,J,2025-10-01 03:50:00.000000,2025-10-01 04:15:00.000000,E,NA
WF931,MEH,HVG,J,2025-10-01 03:50:00.000000,2025-10-01 04:10:00.000000,G,NA
WF150,HOV,SOG,J,2025-10-01 03:55:00.000000,2025-10-01 04:25:00.000000,B,A
WF960,TOS,SOJ,J,2025-10-01 04:00:00.000000,2025-10-01 04:25:00.000000,NA,C
WF140,SDN,SOG,J,2025-10-01 04:00:00.000000,2025-10-01 04:30:00.000000,A,A
WF180,FDE,OSL,J,2025-10-01 04:05:00.000000,2025-10-01 05:10:00.000000,A,NA
WF160,HOV,OSL,J,2025-10-01 04:05:00.000000,2025-10-01 05:15:00.000000,B,NA
WF501,MOL,BGO,J,2025-10-01 04:15:00.000000,2025-10-01 05:10:00.000000,B,NA
WF781,RVK,OSY,J,2025-10-01 04:25:00.000000,2025-10-01 04:45:00.000000,C,C
WF761,MQN,TRD,J,2025-10-01 04:25:00.000000,2025-10-01 05:30:00.000000,D,NA
WF741,MJF,TRD,J,2025-10-01 04:30:00.000000,2025-10-01 05:25:00.000000,D,NA
WF721,SSJ,TRD,J,2025-10-01 04:45:00.000000,2025-10-01 05:40:00.000000,D,NA
WF961,SOJ,TOS,J,2025-10-01 04:45:00.000000,2025-10-01 05:10:00.000000,C,NA
WF140,SOG,OSL,J,2025-10-01 04:45:00.000000,2025-10-01 05:40:00.000000,A,NA
WF820,BOO,SVJ,J,2025-10-01 04:45:00.000000,2025-10-01 05:15:00.000000,NA,E
WF150,SOG,BGO,J,2025-10-01 04:45:00.000000,2025-10-01 05:20:00.000000,A,NA
DX521,RRS,OSL,J,2025-10-01 04:45:00.000000,2025-10-01 05:40:00.000000,B,NA
WF802,BOO,LKN,J,2025-10-01 04:45:00.000000,2025-10-01 05:15:00.000000,NA,E
WF781,OSY,TRD,J,2025-10-01 05:00:00.000000,2025-10-01 05:30:00.000000,C,NA
WF942,ALF,BVG,J,2025-10-01 05:05:00.000000,2025-10-01 05:50:00.000000,NA,F
WF930,HFT,BJF,J,2025-10-01 05:10:00.000000,2025-10-01 05:55:00.000000,NA,F
WF803,LKN,BOO,J,2025-10-01 05:30:00.000000,2025-10-01 05:55:00.000000,E,NA
WF821,SVJ,BOO,J,2025-10-01 05:30:00.000000,2025-10-01 05:55:00.000000,E,NA
WF974,TOS,HAA,J,2025-10-01 05:40:00.000000,2025-10-01 06:15:00.000000,NA,G
WF161,OSL,HOV,J,2025-10-01 05:45:00.000000,2025-10-01 06:55:00.000000,NA,B
WF181,OSL,FDE,J,2025-10-01 05:45:00.000000,2025-10-01 06:50:00.000000,NA,A
WF742,TRD,MJF,J,2025-10-01 06:05:00.000000,2025-10-01 06:55:00.000000,NA,D
WF762,TRD,MQN,J,2025-10-01 06:05:00.000000,2025-10-01 07:10:00.000000,NA,D
WF942,BVG,VDS,J,2025-10-01 06:05:00.000000,2025-10-01 06:30:00.000000,F,G
WF722,TRD,SSJ,J,2025-10-01 06:10:00.000000,2025-10-01 07:05:00.000000,NA,D
WF141,OSL,SOG,J,2025-10-01 06:10:00.000000,2025-10-01 07:05:00.000000,NA,A
WF930,BJF,VDS,J,2025-10-01 06:10:00.000000,2025-10-01 06:30:00.000000,F,G
WF892,BOO,RET,J,2025-10-01 06:15:00.000000,2025-10-01 06:40:00.000000,NA,E
WF974,HAA,HFT,J,2025-10-01 06:30:00.000000,2025-10-01 06:50:00.000000,G,NA
WF151,BGO,SOG,J,2025-10-01 06:35:00.000000,2025-10-01 07:10:00.000000,NA,A
WF782,TRD,RVK,J,2025-10-01 06:35:00.000000,2025-10-01 07:10:00.000000,NA,C
WF933,VDS,HFT,J,2025-10-01 06:50:00.000000,2025-10-01 07:40:00.000000,G,NA
WF822,BOO,SVJ,J,2025-10-01 06:50:00.000000,2025-10-01 07:20:00.000000,NA,E
WF892,RET,LKN,J,2025-10-01 06:55:00.000000,2025-10-01 07:20:00.000000,E,E
