feature,importance
feat_sched_concurrence,0.33978233419769094
feat_sched_flights_cnt,0.2005195704474633
concurrence_risk,0.1973460385396933
flights_x_hour,0.13877803130836644
airport_group_encoded,0.039056792610796254
hour_of_day,0.03564310674035735
day_of_week,0.012868943723533876
month,0.00951971402857988
is_weekend,0.006447692252816128
season_encoded,0.0052980081235992895
hour_group_afternoon,0.0051652560919356
hour_group_night,0.003520697206949024
hour_group_morning,0.0032354920930878703
hour_group_evening,0.00281832263513065
