flight_id,dep_airport,arr_airport,service_type,std,sta,dep_airport_group,arr_airport_group
WF931,VDS,MEH,J,2025-10-01T03:00:00.000000,2025-10-01T03:35:00.000000,G,G
WF800,BOO,LKN,J,2025-10-01T03:05:00.000000,2025-10-01T03:35:00.000000,NA,E
WF941,VDS,KKN,J,2025-10-01T03:15:00.000000,2025-10-01T03:30:00.000000,G,NA
WF931,MEH,HVG,J,2025-10-01T03:50:00.000000,2025-10-01T04:10:00.000000,G,NA
WF801,LKN,BOO,J,2025-10-01T03:50:00.000000,2025-10-01T04:15:00.000000,E,NA
WF150,HOV,SOG,J,2025-10-01T03:55:00.000000,2025-10-01T04:25:00.000000,B,A
WF960,TOS,SOJ,J,2025-10-01T04:00:00.000000,2025-10-01T04:25:00.000000,NA,C
WF140,SDN,SOG,J,2025-10-01T04:00:00.000000,2025-10-01T04:30:00.000000,A,A
WF160,HOV,OSL,J,2025-10-01T04:05:00.000000,2025-10-01T05:15:00.000000,B,NA
WF180,FDE,OSL,J,2025-10-01T04:05:00.000000,2025-10-01T05:10:00.000000,A,NA
WF501,MOL,BGO,J,2025-10-01T04:15:00.000000,2025-10-01T05:10:00.000000,B,NA
WF501,MOL,BGO,J,2025-10-01T04:15:00.000000,2025-10-01T05:10:00.000000,B,NA
WF781,RVK,OSY,J,2025-10-01T04:25:00.000000,2025-10-01T04:45:00.000000,C,C
WF761,MQN,TRD,J,2025-10-01T04:25:00.000000,2025-10-01T05:30:00.000000,D,NA
WF741,MJF,TRD,J,2025-10-01T04:30:00.000000,2025-10-01T05:25:00.000000,D,NA
WF961,SOJ,TOS,J,2025-10-01T04:45:00.000000,2025-10-01T05:10:00.000000,C,NA
WF150,SOG,BGO,J,2025-10-01T04:45:00.000000,2025-10-01T05:20:00.000000,A,NA
WF140,SOG,OSL,J,2025-10-01T04:45:00.000000,2025-10-01T05:40:00.000000,A,NA
WF820,BOO,SVJ,J,2025-10-01T04:45:00.000000,2025-10-01T05:15:00.000000,NA,E
WF802,BOO,LKN,J,2025-10-01T04:45:00.000000,2025-10-01T05:15:00.000000,NA,E
WF721,SSJ,TRD,J,2025-10-01T04:45:00.000000,2025-10-01T05:40:00.000000,D,NA
WF781,OSY,TRD,J,2025-10-01T05:00:00.000000,2025-10-01T05:30:00.000000,C,NA
WF942,ALF,BVG,J,2025-10-01T05:05:00.000000,2025-10-01T05:50:00.000000,NA,F
WF930,HFT,BJF,J,2025-10-01T05:10:00.000000,2025-10-01T05:55:00.000000,NA,F
WF821,SVJ,BOO,J,2025-10-01T05:30:00.000000,2025-10-01T05:55:00.000000,E,NA
WF803,LKN,BOO,J,2025-10-01T05:30:00.000000,2025-10-01T05:55:00.000000,E,NA
WF974,TOS,HAA,J,2025-10-01T05:40:00.000000,2025-10-01T06:15:00.000000,NA,G
WF181,OSL,FDE,J,2025-10-01T05:45:00.000000,2025-10-01T06:50:00.000000,NA,A
WF161,OSL,HOV,J,2025-10-01T05:45:00.000000,2025-10-01T06:55:00.000000,NA,B
WF942,BVG,VDS,J,2025-10-01T06:05:00.000000,2025-10-01T06:30:00.000000,F,G
WF762,TRD,MQN,J,2025-10-01T06:05:00.000000,2025-10-01T07:10:00.000000,NA,D
WF742,TRD,MJF,J,2025-10-01T06:05:00.000000,2025-10-01T06:55:00.000000,NA,D
WF722,TRD,SSJ,J,2025-10-01T06:10:00.000000,2025-10-01T07:05:00.000000,NA,D
WF141,OSL,SOG,J,2025-10-01T06:10:00.000000,2025-10-01T07:05:00.000000,NA,A
WF930,BJF,VDS,J,2025-10-01T06:10:00.000000,2025-10-01T06:30:00.000000,F,G
WF892,BOO,RET,J,2025-10-01T06:15:00.000000,2025-10-01T06:40:00.000000,NA,E
WF974,HAA,HFT,J,2025-10-01T06:30:00.000000,2025-10-01T06:50:00.000000,G,NA
WF151,BGO,SOG,J,2025-10-01T06:35:00.000000,2025-10-01T07:10:00.000000,NA,A
WF782,TRD,RVK,J,2025-10-01T06:35:00.000000,2025-10-01T07:10:00.000000,NA,C
WF822,BOO,SVJ,J,2025-10-01T06:50:00.000000,2025-10-01T07:20:00.000000,NA,E
WF933,VDS,HFT,J,2025-10-01T06:50:00.000000,2025-10-01T07:40:00.000000,G,NA
WF953,VDS,VAW,J,2025-10-01T06:55:00.000000,2025-10-01T07:15:00.000000,G,F
WF892,RET,LKN,J,2025-10-01T06:55:00.000000,2025-10-01T07:20:00.000000,E,E
WF503,MOL,BGO,J,2025-10-01T07:00:00.000000,2025-10-01T07:55:00.000000,B,NA
WF742,MJF,BOO,J,2025-10-01T07:10:00.000000,2025-10-01T07:50:00.000000,D,NA
WF162,HOV,OSL,J,2025-10-01T07:15:00.000000,2025-10-01T08:25:00.000000,B,NA
WF184,FDE,OSL,J,2025-10-01T07:20:00.000000,2025-10-01T08:25:00.000000,A,NA
WF722,SSJ,BOO,J,2025-10-01T07:20:00.000000,2025-10-01T07:55:00.000000,D,NA
WF141,SOG,SDN,J,2025-10-01T07:25:00.000000,2025-10-01T07:55:00.000000,A,A
WF762,MQN,BOO,J,2025-10-01T07:25:00.000000,2025-10-01T07:55:00.000000,D,NA
WF151,SOG,HOV,J,2025-10-01T07:25:00.000000,2025-10-01T08:00:00.000000,A,B
WF953,VAW,KKN,J,2025-10-01T07:30:00.000000,2025-10-01T07:55:00.000000,F,NA
WF783,RVK,TRD,J,2025-10-01T07:30:00.000000,2025-10-01T08:05:00.000000,C,NA
WF892,LKN,BOO,J,2025-10-01T07:35:00.000000,2025-10-01T08:00:00.000000,E,NA
WF823,SVJ,BOO,J,2025-10-01T07:35:00.000000,2025-10-01T08:00:00.000000,E,NA
DY423,MOL,OSL,J,2025-10-01T07:45:00.000000,2025-10-01T08:40:00.000000,B,NA
WF141,SDN,OSL,J,2025-10-01T08:15:00.000000,2025-10-01T09:20:00.000000,A,NA
WF151,HOV,OSL,J,2025-10-01T08:20:00.000000,2025-10-01T09:30:00.000000,B,NA
WF163,OSL,HOV,J,2025-10-01T08:50:00.000000,2025-10-01T10:00:00.000000,NA,B
WF804,BOO,LKN,J,2025-10-01T08:55:00.000000,2025-10-01T09:25:00.000000,NA,E
WF765,BOO,MQN,J,2025-10-01T08:55:00.000000,2025-10-01T09:30:00.000000,NA,D
WF745,BOO,MJF,J,2025-10-01T08:55:00.000000,2025-10-01T09:40:00.000000,NA,D
WF145,OSL,SDN,J,2025-10-01T08:55:00.000000,2025-10-01T10:05:00.000000,NA,A
WF824,BOO,SVJ,J,2025-10-01T08:55:00.000000,2025-10-01T09:25:00.000000,NA,E
WF825,SVJ,BOO,J,2025-10-01T09:45:00.000000,2025-10-01T10:10:00.000000,E,NA
WF805,LKN,BOO,J,2025-10-01T09:45:00.000000,2025-10-01T10:10:00.000000,E,NA
WF954,KKN,VDS,J,2025-10-01T09:45:00.000000,2025-10-01T10:00:00.000000,NA,G
WF765,MQN,TRD,J,2025-10-01T09:50:00.000000,2025-10-01T10:55:00.000000,D,NA
WF745,MJF,TRD,J,2025-10-01T10:00:00.000000,2025-10-01T10:55:00.000000,D,NA
WF167,OSL,HOV,J,2025-10-01T10:00:00.000000,2025-10-01T11:10:00.000000,NA,B
WF187,OSL,FDE,J,2025-10-01T10:10:00.000000,2025-10-01T11:15:00.000000,NA,A
WF163,HOV,BGO,J,2025-10-01T10:20:00.000000,2025-10-01T11:15:00.000000,B,NA
WF954,VDS,VAW,J,2025-10-01T10:20:00.000000,2025-10-01T10:40:00.000000,G,F
WF146,SDN,OSL,J,2025-10-01T10:25:00.000000,2025-10-01T11:30:00.000000,A,NA
WF808,BOO,LKN,J,2025-10-01T10:45:00.000000,2025-10-01T11:15:00.000000,NA,E
WF955,VAW,BJF,J,2025-10-01T10:55:00.000000,2025-10-01T11:15:00.000000,F,F
WF168,HOV,OSL,J,2025-10-01T11:30:00.000000,2025-10-01T12:40:00.000000,B,NA
WF768,TRD,MQN,J,2025-10-01T11:30:00.000000,2025-10-01T12:35:00.000000,NA,D
WF955,BJF,BVG,J,2025-10-01T11:30:00.000000,2025-10-01T11:50:00.000000,F,F
WF809,LKN,BOO,J,2025-10-01T11:35:00.000000,2025-10-01T12:00:00.000000,E,NA
WF188,FDE,OSL,J,2025-10-01T11:35:00.000000,2025-10-01T12:40:00.000000,A,NA
WF908,HFT,MEH,J,2025-10-01T11:45:00.000000,2025-10-01T12:20:00.000000,NA,G
WF170,BGO,HOV,J,2025-10-01T11:50:00.000000,2025-10-01T12:40:00.000000,NA,B
WF811,TOS,LKN,J,2025-10-01T12:00:00.000000,2025-10-01T13:00:00.000000,NA,E
WF155,OSL,SOG,J,2025-10-01T12:00:00.000000,2025-10-01T12:55:00.000000,NA,A
WF955,BVG,VDS,J,2025-10-01T12:05:00.000000,2025-10-01T12:30:00.000000,F,G
WF508,BGO,MOL,J,2025-10-01T12:15:00.000000,2025-10-01T13:10:00.000000,NA,B
WF828,BOO,SVJ,J,2025-10-01T12:25:00.000000,2025-10-01T12:55:00.000000,NA,E
WF908,MEH,HVG,J,2025-10-01T12:35:00.000000,2025-10-01T12:55:00.000000,G,NA
WF769,BOO,MQN,J,2025-10-01T12:50:00.000000,2025-10-01T13:25:00.000000,NA,D
WF955,VDS,KKN,J,2025-10-01T12:50:00.000000,2025-10-01T13:05:00.000000,G,NA
WF729,BOO,SSJ,J,2025-10-01T12:50:00.000000,2025-10-01T13:30:00.000000,NA,D
WF768,MQN,BOO,J,2025-10-01T12:55:00.000000,2025-10-01T13:25:00.000000,D,NA
WF170,HOV,OSL,J,2025-10-01T13:00:00.000000,2025-10-01T14:10:00.000000,B,NA
WF171,OSL,HOV,J,2025-10-01T13:15:00.000000,2025-10-01T14:25:00.000000,NA,B
WF156,SOG,OSL,J,2025-10-01T13:15:00.000000,2025-10-01T14:10:00.000000,A,NA
WF811,LKN,BOO,J,2025-10-01T13:15:00.000000,2025-10-01T13:40:00.000000,E,NA
WF829,SVJ,BOO,J,2025-10-01T13:15:00.000000,2025-10-01T13:40:00.000000,E,NA
WF792,TRD,RVK,J,2025-10-01T13:15:00.000000,2025-10-01T13:50:00.000000,NA,C
WF191,OSL,FDE,J,2025-10-01T13:25:00.000000,2025-10-01T14:30:00.000000,NA,A
